r,rho,eigvec,count
0.2,0.609620550225263,-0.0126693321954842,1
0.6,0.599101292825173,-0.0144736740062697,26
1,0.568833310876464,-0.0168737567202839,66
1.4,0.516345063607344,-0.0202459763613574,158
1.8,0.438180959522955,-0.0249514679666845,234
2.2,0.324158508756306,-0.0269900853880226,410
2.6,0.21175048499425,-0.0225784945405039,470
3,0.126416783077363,-0.0142541693654953,738
3.4,0.0766640865325177,-0.00742136224568609,866
3.8,0.051906846981023,-0.00355647566049148,1170
4.2,0.0401343231686548,-0.00167561159356708,1358
4.6,0.0346221612406444,-0.000802558966563586,1626
5,0.0319328957358095,-0.000382055116086029,1970
5.4,0.030626642030676,-0.000180011605795723,2366
5.8,0.0300146154308201,-8.63655249602387e-05,2538
6.2,0.0297023200120458,-3.84543877895971e-05,3074
6.6,0.0295606247578429,-1.65079171099768e-05,3003
