y,rho,eigvec
-6.4,0.0294967504674162,-1.82692051175773e-07
-6,0.029879337260142,-6.50156024506628e-05
-5.6,0.0302483372194912,-0.000121656545828513
-5.2,0.0310886403397638,-0.000250992799468095
-4.8,0.0328498574207006,-0.000524891085872847
-4.4,0.0365138794636378,-0.0011007405381148
-4,0.0441817725622239,-0.00232248022301843
-3.6,0.0603014966280313,-0.00489613310882341
-3.2,0.0937056522603883,-0.00996892346827228
-2.8,0.157896864882301,-0.0179939013091804
-2.4,0.260220947067678,-0.025617527031385
-2,0.379738167070835,-0.0270963905437392
-1.6,0.476632895362833,-0.0229052733960586
-1.2,0.540847289570273,-0.0186136537169607
-0.8,0.584587303326042,-0.015853635343548
-0.4,0.60588442957045,-0.0136069247502201
0,0.609620550225263,-0.0126693321954842
0.4,0.605880742933258,-0.0136626402761028
0.8,0.584575058638943,-0.0158436327587088
1.2,0.540827797409205,-0.0186069247571282
1.6,0.476603845164064,-0.0229063892053435
2,0.379695878567156,-0.0270931657232598
2.4,0.26017676295111,-0.025622115298669
2.8,0.157864616324139,-0.0179911003971986
3.2,0.093686519090802,-0.00996584923347741
3.6,0.0602902443411225,-0.00489382094936845
4,0.0441734860536102,-0.00232019388368062
4.4,0.0365050712580525,-0.00109872206037066
4.8,0.0328343064339594,-0.000521664809728859
5.2,0.0310717121294048,-0.000247983755704611
5.6,0.0302422638302052,-0.000120026633354308
6,0.0294967504674162,4.831608561714e-08
